t,id,x,y,rho
0,0,0.04,-7.848e-10,1000
0,1,0.08,-7.848e-10,1000
0,2,0.12,-7.848e-10,1000
0,3,0.16,-7.848e-10,1000
0,4,0.2,-7.848e-10,1000
0,5,0.24,-7.848e-10,1000
0,6,0.28,-7.848e-10,1000
0,7,0.32,-7.848e-10,1000
0,8,0.36,-7.848e-10,1000
0,9,0,0.04,1000
0,10,0.04,0.04,1000
0,11,0.08,0.04,1000
0,12,0.12,0.04,1000
0,13,0.16,0.04,1000
0,14,0.2,0.04,1000
0,15,0.24,0.04,1000
0,16,0.28,0.04,1000
0,17,0.32,0.04,1000
0,18,0.36,0.04,1000
0,19,0,0.08,1000
0,20,0.04,0.08,1000
0,21,0.08,0.08,1000
0,22,0.12,0.08,1000
0,23,0.16,0.08,1000
0,24,0.2,0.08,1000
0,25,0.24,0.08,1000
0,26,0.28,0.08,1000
0,27,0.32,0.08,1000
0,28,0.36,0.08,1000
0,29,0,0.12,1000
0,30,0.04,0.12,1000
0,31,0.08,0.12,1000
0,32,0.12,0.12,1000
0,33,0.16,0.12,1000
0,34,0.2,0.12,1000
0,35,0.24,0.12,1000
0,36,0.28,0.12,1000
0,37,0.32,0.12,1000
0,38,0.36,0.12,1000
0,39,0,0.16,1000
0,40,0.04,0.16,1000
0,41,0.08,0.16,1000
0,42,0.12,0.16,1000
0,43,0.16,0.16,1000
0,44,0.2,0.16,1000
0,45,0.24,0.16,1000
0,46,0.28,0.16,1000
0,47,0.32,0.16,1000
0,48,0.36,0.16,1000
0,49,0,0.2,1000
0,50,0.04,0.2,1000
0,51,0.08,0.2,1000
0,52,0.12,0.2,1000
0,53,0.16,0.2,1000
0,54,0.2,0.2,1000
0,55,0.24,0.2,1000
0,56,0.28,0.2,1000
0,57,0.32,0.2,1000
0,58,0.36,0.2,1000
0,59,0,0.24,1000
0,60,0.04,0.24,1000
0,61,0.08,0.24,1000
0,62,0.12,0.24,1000
0,63,0.16,0.24,1000
0,64,0.2,0.24,1000
0,65,0.24,0.24,1000
0,66,0.28,0.24,1000
0,67,0.32,0.24,1000
0,68,0.36,0.24,1000
0,69,0,0.28,1000
0,70,0.04,0.28,1000
0,71,0.08,0.28,1000
0,72,0.12,0.28,1000
0,73,0.16,0.28,1000
0,74,0.2,0.28,1000
0,75,0.24,0.28,1000
0,76,0.28,0.28,1000
0,77,0.32,0.28,1000
0,78,0.36,0.28,1000
0,79,0,0.32,1000
0,80,0.04,0.32,1000
0,81,0.08,0.32,1000
0,82,0.12,0.32,1000
0,83,0.16,0.32,1000
0,84,0.2,0.32,1000
0,85,0.24,0.32,1000
0,86,0.28,0.32,1000
0,87,0.32,0.32,1000
0,88,0.36,0.32,1000
0,89,0,0.36,1000
0,90,0.04,0.36,1000
0,91,0.08,0.36,1000
0,92,0.12,0.36,1000
0,93,0.16,0.36,1000
0,94,0.2,0.36,1000
0,95,0.24,0.36,1000
0,96,0.28,0.36,1000
0,97,0.32,0.36,1000
0,98,0.36,0.36,1000
0,99,0,0.4,1000
0,100,0.04,0.4,1000
0,101,0.08,0.4,1000
0,102,0.12,0.4,1000
0,103,0.16,0.4,1000
0,104,0.2,0.4,1000
0,105,0.24,0.4,1000
0,106,0.28,0.4,1000
0,107,0.32,0.4,1000
0,108,0.36,0.4,1000
0,109,0,0.44,1000
0,110,0.04,0.44,1000
0,111,0.08,0.44,1000
0,112,0.12,0.44,1000
0,113,0.16,0.44,1000
0,114,0.2,0.44,1000
0,115,0.24,0.44,1000
0,116,0.28,0.44,1000
0,117,0.32,0.44,1000
0,118,0.36,0.44,1000
0,119,0,0.48,1000
0,120,0.04,0.48,1000
0,121,0.08,0.48,1000
0,122,0.12,0.48,1000
0,123,0.16,0.48,1000
0,124,0.2,0.48,1000
0,125,0.24,0.48,1000
0,126,0.28,0.48,1000
0,127,0.32,0.48,1000
0,128,0.36,0.48,1000
0,129,0,0.52,1000
0,130,0.04,0.52,1000
0,131,0.08,0.52,1000
0,132,0.12,0.52,1000
0,133,0.16,0.52,1000
0,134,0.2,0.52,1000
0,135,0.24,0.52,1000
0,136,0.28,0.52,1000
0,137,0.32,0.52,1000
0,138,0.36,0.52,1000
0,139,0,0.56,1000
0,140,0.04,0.56,1000
0,141,0.08,0.56,1000
0,142,0.12,0.56,1000
0,143,0.16,0.56,1000
0,144,0.2,0.56,1000
0,145,0.24,0.56,1000
0,146,0.28,0.56,1000
0,147,0.32,0.56,1000
0,148,0.36,0.56,1000
0,149,0,0.6,1000
0,150,0.04,0.6,1000
0,151,0.08,0.6,1000
0,152,0.12,0.6,1000
0,153,0.16,0.6,1000
0,154,0.2,0.6,1000
0,155,0.24,0.6,1000
